0	123.36	5298.7
0	2970.6	1921.6
0	3901.7	2742.2
0	3663	4717.4
0	4642.9	5070.6
1	3984.1	1403.3
0	4646.7	4696.2
0	2242.5	1750
0	5256.3	2957.5
0	731.75	3274
0	2667.7	1811.3
1	3777.8	5176
0	3344.8	2207
0	1072.1	4532.9
0	3196.4	3258.9
0	2940.3	2991.1
1	3645.2	4652.4
1	4261.2	3255.1
0	3780.1	5338.2
1	4544.9	1986.1
0	4167.7	2088.1
0	3749.3	5324.7
0	4951.6	2376.2
0	3647.8	4690.4
0	2955.6	5314.3
1	5295.6	3160.3
1	5275.6	2580.3
0	3760.1	5392.8
0	5592.5	2981.6
0	3598.9	4381.2
1	3707.5	4838.7
0	3682.1	4725.9
0	3783.5	5136.6
1	3861	1776.6
0	4535	1372.9
0	4277.5	1674.7
1	2341.7	1737.4
0	3901.9	1459.7
0	3796.7	5333
0	3690.3	4866.6
0	3278.1	3686.2
0	3000	1949.5
0	3299.9	3730.2
0	4489.5	1703.1
0	4767.7	1991.7
0	3470	4084.6
1	3963.1	1551.5
0	3738.2	4956.9
0	1407.6	3753.5
0	3618.4	4643.5
0	2999.6	1970.8
0	3284.8	2096.1
0	4844.3	2255.4
0	2426.7	1756.7
0	3314.6	1054.8
0	2083.9	1828.8
0	3518.6	4209.4
0	3790.1	5107.4
1	2465.7	1763.6
1	3282	3638.9
0	2425.9	2652.1
0	4366.3	3421.8
0	3848.7	5680.9
0	3268.5	3671.4
1	1959.4	3991.6
1	3536.5	4150.6
1	3710.2	5061.6
1	3758	5053.8
0	3737.6	5435.5
1	3755.8	1458.3
0	3823.6	5364.8
1	3489.6	4090.9
0	4343.4	1321.6
1	3690.2	2545.3
1	2665.5	4733
0	2800.8	2863.6
0	3411	3961.6
0	3665.1	1570.3
0	3498.1	4061.8
0	4588.9	4049.1
0	4490.4	3751.1
0	2131.9	2558.2
0	3842.4	5338.2
0	3844.7	5276.4
0	3759.8	1476.6
0	3363.5	1296.6
1	3972.1	5097
0	4539.4	5302.8
0	4546.9	3532.9
1	796.61	2764.8
0	5226.7	2267.7
1	3101.8	5291.8
0	3584	5031.9
0	3663.1	4663.7
0	4418.3	5382.5
0	3668.2	4736.1
1	4624	4834.4
0	3257	1496
0	4561	2566.3
1	3055	3679.4
0	5212.5	2299.5
1	4588.6	5203.5
0	3777.6	5216.3
0	1386.5	3756.7
0	4009.4	1540.3
1	5177.8	3564.6
0	1859.9	1846.6
0	3633	4734.4
0	3200.1	967.6
0	3207.3	3572.1
1	5320.6	3410.5
0	4631.4	4643.2
0	3637.8	4673.3
1	3888.8	5473.3
1	4551.1	3844.7
1	3373.8	3840.6
0	4687.1	2957.6
0	3818	5308.6
0	3798.4	1442.7
0	3767.8	5268
1	3183.4	2032.3
0	1928.8	1266.6
0	3311.7	962.54
